,0
0,66.0
1,68.0
2,80.0
3,81.0
4,82.0
5,83.0
6,84.0
7,85.0
8,86.0
9,88.0
10,89.0
11,90.0
12,91.0
13,93.0
14,94.0
15,95.0
16,97.0
17,98.0
18,99.0
19,100.0
20,101.0
21,102.0
22,103.0
23,105.0
24,106.0
25,15899.0
26,15901.0
27,7360.0
28,20710.0
29,20711.0
30,20712.0
31,20713.0
32,20714.0
33,20715.0
34,20716.0
35,20717.0
36,20720.0
37,20721.0
38,20722.0
39,20843.0
40,20846.0
41,20847.0
42,18852.0
43,18853.0
44,18854.0
45,18856.0
46,18857.0
47,18858.0
48,18859.0
49,18862.0
50,18863.0
51,18864.0
52,18865.0
53,18866.0
54,18867.0
55,18870.0
56,18871.0
57,18872.0
58,18877.0
59,18879.0
60,18880.0
61,18881.0
62,18882.0
63,18883.0
64,18884.0
65,18885.0
66,18886.0
67,18889.0
68,18890.0
69,18891.0
70,18892.0
71,18899.0
72,18900.0
73,18901.0
74,18902.0
75,18903.0
76,18904.0
77,18905.0
78,18906.0
79,18907.0
80,18908.0
81,18910.0
82,18911.0
83,18912.0
84,18913.0
85,18914.0
86,18915.0
87,18916.0
88,18917.0
89,18919.0
90,18920.0
91,18921.0
92,18922.0
93,18923.0
94,18924.0
95,18925.0
96,18926.0
97,18930.0
98,18932.0
99,18933.0
100,18934.0
101,14838.0
102,14840.0
103,14841.0
104,14839.0
105,18939.0
106,18940.0
107,18941.0
108,14842.0
109,14843.0
110,18944.0
111,18945.0
112,18946.0
113,18948.0
114,18949.0
115,18950.0
116,18952.0
117,18953.0
118,18955.0
119,21045.0
120,12865.0
121,12866.0
122,12867.0
123,12868.0
124,12869.0
125,12870.0
126,12872.0
127,12873.0
128,10829.0
129,10830.0
130,12878.0
131,12879.0
132,10833.0
133,12880.0
134,10835.0
135,12881.0
136,10837.0
137,12883.0
138,10839.0
139,10840.0
140,10841.0
141,12882.0
142,12891.0
143,10843.0
144,12890.0
145,10842.0
146,10838.0
147,10850.0
148,21094.0
149,21095.0
150,21096.0
151,12905.0
152,12907.0
153,12909.0
154,10865.0
155,10866.0
156,10867.0
157,12913.0
158,12914.0
159,10869.0
160,12915.0
161,12916.0
162,10875.0
163,21163.0
164,21165.0
165,8912.0
166,8913.0
167,8915.0
168,8916.0
169,8917.0
170,8918.0
171,8919.0
172,8920.0
173,8921.0
174,8922.0
175,8923.0
176,8924.0
177,8925.0
178,8926.0
179,8927.0
180,8928.0
181,8932.0
182,8933.0
183,8934.0
184,8935.0
185,8936.0
186,8937.0
187,8939.0
188,8940.0
189,8941.0
190,8942.0
191,8943.0
192,8944.0
193,8945.0
194,8946.0
195,8947.0
196,8948.0
197,8949.0
198,8950.0
199,8951.0
200,8952.0
201,3416.0
202,3417.0
203,21417.0
204,21418.0
205,21419.0
206,21420.0
207,21421.0
208,21422.0
209,21423.0
210,21424.0
211,21425.0
212,21426.0
213,21427.0
214,21428.0
215,21429.0
216,21430.0
217,21431.0
218,21432.0
219,21433.0
220,21434.0
221,21435.0
222,21439.0
223,21443.0
224,21446.0
225,21447.0
226,21448.0
227,21449.0
228,21450.0
229,21451.0
230,21505.0
231,21506.0
232,21507.0
233,21508.0
234,21509.0
235,21510.0
236,21511.0
237,21512.0
238,21513.0
239,21514.0
240,21515.0
241,21516.0
242,21517.0
243,21518.0
244,21519.0
245,21520.0
246,21521.0
247,21523.0
248,21524.0
249,21549.0
250,21550.0
251,21551.0
252,21552.0
253,21553.0
254,21554.0
255,21555.0
256,21556.0
257,21557.0
258,21558.0
259,21559.0
260,21560.0
261,21561.0
262,21562.0
263,21563.0
264,21564.0
265,21565.0
266,21566.0
267,21567.0
268,21568.0
269,21569.0
270,21570.0
271,21571.0
272,21572.0
273,21573.0
274,21574.0
275,7246.0
276,7247.0
277,7248.0
278,7249.0
279,7250.0
280,7251.0
281,7252.0
282,19559.0
283,7276.0
284,7277.0
285,7278.0
286,7279.0
287,7280.0
288,7281.0
289,7282.0
290,7283.0
291,7284.0
292,7285.0
293,1142.0
294,1143.0
295,1144.0
296,1145.0
297,1146.0
298,1147.0
299,1148.0
300,1149.0
301,1151.0
302,1152.0
303,1153.0
304,1154.0
305,1155.0
306,1156.0
307,1157.0
308,1158.0
309,1159.0
310,1160.0
311,7314.0
312,7315.0
313,7316.0
314,7317.0
315,7319.0
316,7322.0
317,7323.0
318,7324.0
319,7325.0
320,7326.0
321,7327.0
322,7328.0
323,15705.0
324,5290.0
325,5291.0
326,5292.0
327,5293.0
328,5294.0
329,1209.0
330,1210.0
331,1211.0
332,1212.0
333,1213.0
334,1214.0
335,7359.0
336,1215.0
337,1216.0
338,7362.0
339,7363.0
340,7364.0
341,1219.0
342,1222.0
343,1223.0
344,1221.0
345,1220.0
346,1226.0
347,1218.0
348,10831.0
349,10832.0
350,1254.0
351,1258.0
352,10834.0
353,1261.0
354,1263.0
355,1264.0
356,1265.0
357,1266.0
358,3351.0
359,3352.0
360,3353.0
361,3354.0
362,3355.0
363,3356.0
364,3357.0
365,3358.0
366,3364.0
367,3366.0
368,3368.0
369,3370.0
370,3371.0
371,5433.0
372,5434.0
373,5435.0
374,5436.0
375,5437.0
376,5438.0
377,5439.0
378,5440.0
379,5441.0
380,5442.0
381,5443.0
382,5444.0
383,3395.0
384,3398.0
385,5445.0
386,3400.0
387,3407.0
388,3408.0
389,3409.0
390,3410.0
391,3411.0
392,3412.0
393,3415.0
394,15704.0
395,15703.0
396,3418.0
397,15707.0
398,15708.0
399,3421.0
400,15710.0
401,15709.0
402,15711.0
403,3425.0
404,15713.0
405,15714.0
406,15717.0
407,15718.0
408,15719.0
409,15721.0
410,15725.0
411,15726.0
412,15728.0
413,15729.0
414,15730.0
415,15731.0
416,15732.0
417,15733.0
418,15734.0
419,15861.0
420,15863.0
421,15864.0
422,15865.0
423,15866.0
424,15867.0
425,15868.0
426,15870.0
427,15873.0
428,15874.0
429,15875.0
430,15877.0
431,15879.0
432,15880.0
433,15882.0
434,15883.0
435,15888.0
436,15889.0
437,15890.0
438,15891.0
439,15892.0
440,15893.0
441,15894.0
442,15895.0
443,15896.0
444,15897.0
445,15898.0
446,19995.0
447,19996.0
448,19997.0
449,19998.0
450,19999.0
451,20000.0
452,20001.0
453,15903.0
454,20003.0
455,20004.0
456,20005.0
457,20006.0
458,15904.0
459,20009.0
460,20016.0
461,15925.0
462,15926.0
463,15927.0
464,15928.0
465,15929.0
466,15930.0
467,15932.0
468,15933.0
469,15934.0
470,15935.0
471,15936.0
472,15937.0
473,15939.0
474,15940.0
475,15941.0
476,15942.0
477,15943.0
478,15944.0
479,15945.0
480,15946.0
481,15948.0
482,15949.0
483,15951.0
484,15952.0
485,15953.0
486,15954.0
487,15955.0
488,15956.0
489,15957.0
490,15958.0
491,15959.0
492,15960.0
493,15961.0
494,15962.0
495,15963.0
496,15964.0
497,15965.0
498,15966.0
499,15967.0
500,15968.0
501,15969.0
502,15970.0
503,15971.0
504,15972.0
505,15973.0
506,15974.0
507,15975.0
508,15976.0
509,15977.0
510,15978.0
511,15979.0
512,15980.0
513,15981.0
514,15982.0
515,15983.0
516,15984.0
517,15985.0
518,15986.0
519,15987.0
520,15988.0
521,15989.0
522,15990.0
523,15991.0
524,15992.0
525,15993.0
526,15994.0
527,15995.0
528,15996.0
529,18045.0
530,15997.0
531,18048.0
532,18049.0
533,18050.0
534,18051.0
535,18052.0
536,18053.0
537,18054.0
538,18055.0
539,18056.0
540,18058.0
541,18059.0
542,18060.0
543,18061.0
544,18062.0
545,18063.0
546,18065.0
547,18066.0
548,18067.0
549,18068.0
550,18070.0
551,16035.0
552,16036.0
553,16037.0
554,16038.0
555,16040.0
556,16041.0
557,16043.0
558,16044.0
559,16045.0
560,16046.0
561,16047.0
562,16048.0
563,16049.0
564,16050.0
565,16051.0
566,16052.0
567,16053.0
568,16054.0
569,16055.0
570,16056.0
571,20181.0
572,20183.0
573,20184.0
574,20185.0
575,20186.0
576,20187.0
577,20188.0
578,20189.0
579,20190.0
580,16172.0
581,16175.0
582,16179.0
583,16182.0
584,16185.0
585,16186.0
586,16188.0
587,16189.0
588,16190.0
589,16191.0
590,16192.0
591,16193.0
592,20318.0
593,20319.0
594,20320.0
595,20321.0
596,20322.0
597,20325.0
598,20326.0
599,20327.0
600,20328.0
601,20329.0
602,20330.0
603,20331.0
604,20363.0
605,20474.0
606,20475.0
607,20476.0
608,20477.0
